TARIH	POS	BARCODE	TUTAR	MIKTAR	ID	FK_TRANSACTION_HEADER	LINE_NO	STATUS	FK_SELLER	FK_DEPARTMENT_VAT	VAT_PERCENT	AMOUNT	FK_UNIT	UNIT_PRICE	ORG_UNIT_PRICE	FK_PAYMENT_TYPE	CURRENCY_UNIT_PRICE	TOTAL_PRICE	DEFAULT_RETURN_PRICE	VAT_TOTAL	DISCOUNT_TOTAL	INDIRECT_DISCOUNT_TOTAL	CAMPAIGN_DISCOUNT	CHEQUE_DISCOUNT	ROUNDING_TOTAL	SALE_TYPE	FK_PRICE_CHANGE_REASON	FK_STOCK_CARD	BARCODE	CODE	DESCRIPTION	PRICE_CHANGED	KEY_USED	STOCK_CODE_USED	KOMANDATURA	POINT_TOTAL	CUSTOM_TEXT	FK_RETURN_REASON	FK_RETURN_REASON_USER	FIRST_PRICE	DISCOUNT_FLAG	OPTION_BITFLAG	CREATE_DATE	FK_USER_CREATE	MODIFY_DATE	FK_USER_MODIFY	FK_STORE_LU	FK_STORE_LS	UPDATESEQ	RETURNABLE_AMOUNT
2026-01-03	24	2182990013074	44,90	1	20040020054546	20040020002594	24	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:12:00.000	0	2026-01-03 15:12:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054564	20040020002596	10	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020054566	20040020002596	12	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054567	20040020002596	13	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690629449292	44,00	1	20040020054632	20040020002596	78	0	-1	7	10	1	1	44,00	44,00	1	0,00	44,00	44,00	4,00	0,00	0,00	0,00	0,00	0,00	0	0	20200000049971	8690629449292	8690629449292	DR.OETKER SUPANGLE 1	0	0	1	1	0		0	0	44,00	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690526075518	44,25	3	20040020054664	20040020002596	110	0	-1	2	5	3	1	14,75	14,75	1	0,00	44,25	44,25	2,11	0,00	0,00	0,00	0,00	0,00	0	0	20200000015392	8690526075518	8690526075518	ETI BI DOLU KAKAO KR	0	0	1	1	0		0	0	14,75	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054686	20040020002596	132	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054687	20040020002596	133	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:25:00.000	0	2026-01-03 15:25:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690526786568	44,10	1	20040020054770	20040020002598	38	0	-1	2	5	1	1	44,10	44,10	1	0,00	44,10	44,10	2,10	0,00	0,00	0,00	0,00	0,00	0	0	20200000025167	8690526786568	8690526786568	ETI KOMBO LOKMALIK 8	0	0	1	1	0		0	0	44,10	1	0	2026-01-03 15:33:00.000	0	2026-01-03 15:33:00.000	0	20004	20004	1	0,00
2026-01-03	24	8585002443830	44,90	1	20040020054790	20040020002598	58	0	-1	7	10	1	1	44,90	44,90	1	0,00	44,90	44,90	4,08	0,00	0,00	0,00	0,00	0,00	0	0	20200000051932	8585002443830	8585002443830	MAGGI TAVUK BULYON 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:33:00.000	0	2026-01-03 15:33:00.000	0	20004	20004	1	0,00
2026-01-03	24	5000112666175	44,60	1	20040020054947	20040020002599	130	0	-1	7	10	1	1	44,60	44,60	1	0,00	44,60	44,60	4,05	0,00	0,00	0,00	0,00	0,00	0	0	20200000045831	5000112666175	5000112666175	FUSE TEA ICE TEA MAN	0	0	1	1	0		0	0	44,60	1	0	2026-01-03 15:48:00.000	0	2026-01-03 15:48:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020054957	20040020002600	1	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 15:56:00.000	0	2026-01-03 15:56:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020055221	20040020002614	7	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 16:32:00.000	0	2026-01-03 16:32:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020055222	20040020002614	8	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 16:32:00.000	0	2026-01-03 16:32:00.000	0	20004	20004	1	0,00
2026-01-03	24	8606012186132	44,35	1	20040020055685	20040020002635	51	0	-1	2	5	1	1	44,35	44,35	1	0,00	44,35	44,35	2,11	0,00	0,00	0,00	0,00	0,00	0	0	20200000006718	8606012186132	8606012186132	BENLIAN ROCKY RICE C	0	0	1	1	0		0	0	44,35	1	0	2026-01-03 17:38:00.000	0	2026-01-03 17:38:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020055750	20040020002637	3	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 17:43:00.000	0	2026-01-03 17:43:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020055754	20040020002637	7	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 17:43:00.000	0	2026-01-03 17:43:00.000	0	20004	20004	1	0,00
